変数,係数
病院数,20959.662596254235
コンビニ数,6931.463077863928
ドラッグストア数,3617.328990140222
公園数,-702.1682818475474
駅数,-1425.3863297982962
学校数,-8705.875574487112
スーパー数,-14078.210755663002
